ABONAMĘT;ABONAMENT
MAITASY;MAJTASY
MAITKI;MATKI
MAKIJARZ;MAKIJAŻ
MANKAMĘTY;MANKAMENT
MARICHUANY;MARIHUANĘ
MARYCHUANY;MARIHUANY
MARYNAŻYK;MARYNARZY
MATURZYSZTOW;MATURZYSTÓW
MAŻ;MA
MENSZCZYZNY;
MENTNĄ;MĘTNA
MERESZKĄ;MEREŻKĄ
MIAŁCZENIE;MILCZENIE
MIEJ WIĘCEJ;
MIEŻONA;MIERZONA
MILJONEREM;MILIONEREM
MINOŁ;MINĄŁ
MISZKASZ;MIESZKASZ
MKIEŁKA;MGIEŁKĄ
MNUSTWO;MNÓSTWO
MODÓL;MODEL
MOJIH;MOICH
MOMĘCIK;MOMENCIE
MONDRALA;MĄDRALA,
MORZLIWOŚĆ;MOŻLIWOŚĆ
MORZNA;MOŻNA
MRUZ;MRÓZ
MYDŁÓW;MYDŁO.
MĄTARZEM;MALARZEM
MĄTARZOWE;MONTAŻOWE
MĘDO;MEGO
MĘSZCZYZN;MĘŻCZYZN
MŁUCENIA;KŁÓCENIA
NA PREDCE;NAPRĘDCE
NA ZAJUTSZ;NAZAJUTRZ
NADCHNIENIA;NATCHNIENIA
NAJLEPRZE;NAJLEPSZE
NAKRĘDKA;NAKRĘTKA
NAPSZYKŁAD;NAPRZYKŁAD
NARZĘDŹ;NARZĘDZI
NASTEMPNEJ;NASTĘPNEJ
NAWIESZCHNI;NAWIERZCHNIĘ
NAWILRZACZ;NAWILŻACZ
NAZADY;NARADY
NEDBUKA;
NEPOWTUZY;
NIE ROSADNY;
NIEDOŚ;NIECOŚ
NIEFER;
NIEODZY;
NIEPORZAŁUJESZ;
NIEPOWTAŻALNY;NIEPOWTARZALNA
NIEROZRZUŻNIA;
NIETSZEBA;
NIETYLKO;NIETYLKO
NIEWLANCZA;
NIEWPOZATKU;
NIEZALEŻNOM;NIEZALEŻNYM
NIEZRUWNOWARZONY;NIEZRÓWNOWAŻONY
NIEŚMIGANE;
NIRZEJ;NASZEJ
NIZKIEGO;NISKIEGO
NIZKIM;NISKIM
NOWIUDKA;NOWIUŚKĄ
NOWOROTKA;NOWORODKA
NUSZKI;PUSZKI
NÓRKA;CÓRKA
OBJEKTYWY;OBIEKTYWY
OBNIRZAJA;OBNIŻANA
OBOPULNIE;OBOPÓLNI
OBRUBKI;OBRÓBKI
OBRUCONE;OBRÓCONEJ
OBSÓGUJE;OBSŁUGUJE
OBSŁÓZY;OBSŁUŻY
OBWUDKA;OBWÓDKĘ
OBÓDOWA;BUDOWA
OBÓWIA;OBUWIE
OBÓWNICZYM;OBUWNICZYM
OCIELPANE;OCIEPLANE
OCIERĆ;OCIERA
OCZYMAŁEM;OTRZYMAŁEM
ODBIUR;ODBIÓR
ODEPRAŁY;ODEGRAŁY
ODKRENCANA;ODKRĘCONA
ODLANCZANA;
ODPOWIEĆ;ODPOWIE
ODPRÓWAJĄCYCH;ODPRUWAJĄCYCH
ODRZYWEK;ODZYWEK
ODTWAŻACZ;ODTWARZASZ
ODWAŻACZ;ODWAŻASZ
ODWDZIEŃCZYŁEM;
OFSZEM;OWSZEM
OGLONDANY;OGLĄDAMY
OGRESTEUROWANY;
OKRONGŁE;OKRĄGŁA
OLIFKOWY;OLIWKOWY
ONEKS;ONYKS
OPRUCZ;OPRÓCZ
OPRZYCIE;OPRZYJCIE
OPSYDIANU;
OPSZERZ;OPASZESZ
OPSZYTY;POSZYTY
OPWOD;POWÓD
ORGINALNOŁ;
ORGINAŁ;ODGINAŁ
ORGYNAŁ;ORZYNAŁ
ORJĘTACYJNE;ORIENTACYJNE
ORZEŁY;ORZEŁ
OSOBOSIE;
OSOBĄ TRZECIM;
OSWUJ;SWÓJ
OSZCZALE;OSZCZAŁA
OSZCZONA;OSĄCZONA
OTKURZACZ;ODKURZACZ
OTUZ;OTÓŻ
OZDUBKI;OZDÓBKO
OZNAKÓW;ZNAKÓW
OŻEŁEK;OSEŁEK
PAHNIE;PANIE
PAMIENC;PAMIĘCI
PAPUSZKA;PAPUŻKA
PARFUM;PERFUM
PASECZKĄ;PAŁECZKOM
PASI;PANI
PASOWNE;PAKOWNE
PASTWISZE;PASTISZE
PAZÓRKI;PAZURKA
PEJZARZ;PEJZAŻU
PEMPEK;PĘPEK
PENDZELEK;PĘDZELEK
PENKAJ;PĘKAJĄ
PENTELKE;PĘTELCE
PERFUM;PERFUM
PERFUMA;PERFUM
PERSFAZYJNA;
PEŁNOM;PEWNĄ
PIENASZKI;
PIERŚCIĄKI;PIERŚCIONKU
PINIADZE NA KONOT;
PIURO;BIURO
PLANY MA PRZEGACH;
PLUTNA;PŁÓTNA
PLUZ;PLUS
PLĄBA;PLAMA
PNEŁMATYCZNA;PNEUMATYCZNA
PNĘMATYCZNE;PNEUMATYCZNE
POCENTJOMETRY;
POCZKUJĄCYM;OCZKUJĄCYM
POD-POURI;
PODCZYMYWACZ;PODTRZYMYWACZ
PODESZFA;PODESZŁA
PODKNIĘCIA;POŁKNIĘCIA
PODPURKA;PODWÓRKA
PODPURKĄ;PODPÓRKI
PODRUŻY;PODRÓŻY
PODRZEWKA;PODSZEWKĄ
PODSTUPEK;
PODSUMOWÓJĄC;PODSUMOWUJĄC
POGRUSZKAMI;
POHODZENIA;POCHODZENIA
POKRENTEŁKA;
POKROWIEDZ;
POLEWEJ;POLOWEJ
POMODZ;PORODŹ
PONIEWARZ;PONIEWAŻ
PONIEWASZ;PONIEWAŻ
PONIRZEJ;PONIŻEJ
PONORZSZYCH SKRUTÓW;
POPACZ;POPATRZ
POPRZES;POPRZEZ
PORASZKA;PORAŻKA
PORAWEJ;PRAWEJ
PORTPONETKA;PORTMONETKA
PORTWEL;PORTFEL
PORYSAŁEM;PORYWAŁEM
PORZUKNIETE;
POSIONC;
POSKĄ;POLSKA
POSTEMPOWANIEM;POSTĘPOWANIEM
POSYSOWANE;PORYSOWANE
POSÓWA;POŁOWA
POT;PO
POTECIONOMETRY;
POTRZEWKA;PODSZEWKA
POWIECZNE;POWIETRZNE
POWIESZCHOWNIE;POWIERZCHOWNIE
POZBĄĆ;POZNAĆ
POZIOMNICE;POZIOMNICĘ
POŻĄDNY KLIJĘT;
PRENTA;RENTĄ
PRETĘSJA;PRETENSJE
PREZĘT;PREZES
PREZĘTUJĄ;PREZENTUJĄ
PROCENTAH;PROCENTA
PRONDO TFÓRCZY;
PROTOKUŁ;PROTOKÓŁ
PROZKACH;ROŻKACH
PROŹBĘ;PRÓBĘ
PRUBKI;PRÓBKI
PRUCZ;OPRÓCZ
PRZCZULKA;PSZCZÓŁKA
PRZECZKOLA;PRZEDSZKOLA
PRZEGRUDKA;PRZEGRÓDKĄ
PRZEGRUTKAMI;PRZEGRÓDKAMI
PRZEJASZCZKA;
PRZEKOMAŻAĆ;
PRZEKUR;PRZEKÓR
PRZELODKAMI;
PRZEMIEKIEJ;PRZEMIĘKŁEJ
PRZEPIEGLA;PRZEPIEKŁA
PRZERURZNYH;PRZERÓŻNYCH
PRZES;PRZEZ
PRZESZCZEKAM;
PRZEZIEMBIAMY;PRZEZIĘBIAMY
PRZEŁAŃCZASZ;PRZEŁĄCZASZ
PRZEŻUDKI;PRZERZUTKI
PRZEŻUTKĘ;PRZEŻUTE
PRZYSZYBSZA;
PRZYŻEC;PRZYRZEC
PRĘTKOŚĆ;PRĘDKOŚĆ
PSELDO;PSEUDO
PSEŁDONIMU;PSEUDONIMU
PSZECIEŻ;PRZECIEŻ
PSZEDMIOTEM;PRZEDMIOTEM
PSZEDWZMACNIACZ;
PSZEPRASZAM;PRZEPRASZAM,
PSZESYŁCE;PRZESYŁCE
PSZESZYCIA;PRZESZYCIE
PSZKAMI;PSYKAMI
PSZODY;PRZODU
PSZUD;PRZED
PSZUSTAWKA;PRZYSTAWKA
PSZUT;RZUT
PSZYCHICZNEJ;PSYCHICZNEJ
PSZYCISKU;PRZYCISKI
PSZYGODÓWKA;
PSZYSSAWEK;PRZYSTAWEK
PSZĘDZONA;PRZĘDZIONA
PSZĘŻYTO;PRZEŻYTO
PUHAR;PUCHAR
PUJŚĆ;PÓJŚĆ
PULKA;PUŁKU
PUŁAUTOMAT;PÓŁAUTOMAT
PUŹNIEJ;PÓŹNIEJ
PÓBLICZNOŚCI;PUBLICZNOŚCI
PÓDEŁKO;PUDEŁKA
PÓŁ OKRONGŁE;
PÓŁAŁTOMATYCZNIE;
PĄCZU;PUCZU
PĄPKA;PAŁKA
PŁUKA;PŁUCA
PŻEGŻAĆ;PRZEGRAĆ
PŻYDATNY;PRZYDATNE
QWARCOWY ;
REGÓLOWANY;REGULOWANYM
RENCZNY;ZRĘCZNY
RENKAWA;RĘKAWY
RENKE;RĘCE
RENKOJMIA;RĘKOJMIĄ
RGNALNA;
RODZAJI;RODZAJU
ROGUW;ROGU
ROLNETKA;
ROSKOSZY;ROZKOSZY
ROSZCZAROWANY;ROZCZAROWANY
ROZCIEŃCIAMI;ROZCIĘCIAMI
ROZPAKUWAJĄCEGO;
ROZROSZNIK;ROZRUSZNIK
ROŁTER;WOLTER
ROŚĆĘCIAMI;
RURZNEGO;RÓŻNEGO
RUWNIESZ;RUGNIESZ
RUZNE;RÓŻNE
RUŻE;RÓŻNE
RYSZE;RURZE
RZADEN;ŻADEN
RZALE;ZALET
RZEBY;ŻEBY
RZELASKA;ŻELAZKA
RZELAZA;ŻELAZA
RZYCZENIA;ŻYCZENIA
RÓBIN;ROBI
RÓDYCH;RÓNYCH
RÓRA;ROLA
RÓRZE;RÓŻNE
RÓRZNYCH;RÓŻNYCH
RĄBY;ABY
SADY;RADY
SAMOBIERZNY;SAMOBIEŻNY
SAMOCHUD;SAMOCHÓD
SANDŁYCZ;
SEIF;SEJF
SEPARACJACJA ;
SERWISĄ;SERWISU
SFASTYKA;SWASTYKĄ
SFETER;SWETER
SFETR;SFER
SFOND;SKĄD
SIWIECE;ŚWIECE
SKAJI;SKALI
SKATAKTOWAL;
SKLEPĄ;SKLEPU
SKOMPY;SKĄPO
SKOZANY;SKAZANY
SKRENY;SYRENY
SKRUCIE;SKRÓCIĆ
SKURA;SKÓRY
SKUŻANY;SKAZANY
SKÓTEK;WSKUTEK
SKŁAT;SKŁAD
SMARZENIA;MARZENIA
SOM;SĄ
SOŁ;PÓŁ
SPOSUB;SPOSÓB
SPOWROTEM;POWROTEM
SPRAWĆ;SPRAW
SPRZENCIE;SPRZĘCIE
SPRZENT;SPRZĘTU
SPRZODU;PRZODU
SPRZĘD;PRZED
SPRĘRZYNY;SPRĘŻYNA
SPUDNICA;SPÓDNICĘ
SPUDNISIA;
SPUJRZ;SPÓJRZ
SPUSUB;SPOSÓB
SPUŁPRACUJE;WSPÓŁPRACUJE
SPÓJŚCIE;PÓJŚCIE
SPÓSZCZANIA;PUSZCZANIA
STARORZYTNY;STAROŻYTNĄ
STARZ;STARY
STRUJ;STRYJ
STRĄCE;STRONIE
STRĄG;STRONY
STUJKĄ;STUKA
STUPKĘ;STOPKĘ
STWAZA;STWARZA
STYMŻE;TYMŻE
STĘPLAMI;STĘPKAMI
SUFMIARKA;SUWMIARKĄ
SWIENTY;ŚWIĘTY
SYLIKON;
SZAWCE;STAWCE
SZCZELA;SZCZEBLA
SZCZEŻE;SZCZERZE
SZEF OZDOBNY;
SZFANKUJE;SZWANKUJE
SZIE;SIĘ
SZKATÓŁKA;SZKATUŁKO
SZKODZKA;SZKODZĄ
SZKOPÓŁ;SZKOPÓW
SZKRZYPCE;SKRZYPCE
SZLÓWKI;ZELÓWKI
SZNORECZEK;SZNURECZEK
SZTRZELA;STRZELA
SZWÓNKIEL;
SZYBCIOTKO;SZYBCIUTKO
SZYBCIUDKO;SZYBCIUTKO
SZYBKO ŁUDŹ MOTOROWO;
SZYIKI;SZYBKI
SZYPKOŚCI;SZYBKOŚCI
SÓPER;OPER
SÓWAK;NOWAK
SĄNCZONY;SĄCZONY
SŁOCIUTKA;ZŁOCIUTKĄ
SŁÓŻBÓWKE;SŁUŻBÓWCE
SŁÓŻYĆ;SŁUŻYĆ
TAGRZE;TAKŻE
TAGŻE;TAKŻE
TAK ŻE;TAKŻE
TAKRZE;TAKŻE
TALEŻ;ALEŻ
TAMICERKA SKURFOPODOBNA;
TATUŁAZY;TATUAŻY
TAWTY;TARTY
TCHURZO-FRETKA;TCHÓRZOFRETKA
TEMPY;TEMPO
TERKOCENIA;
TERZ;TEŻ
TESZ;TEŻ
TOMACHAWEK;
TOPUR;OPÓR
TOREPKI;TOREBKI
TRANSWER;TRANSFER
TRANZAKCJA;TRANSAKCJĄ
TRENDOWATEGO;TRĘDOWATEGO
TRUJKONTY;TRÓJKĄTY
TRZCIONKA;TRZCINKĄ
TRÓDNO;TRUDNO
TRĘDÓW;TRUDÓW
TUPKA;TURKA
TWARTSZE;TWARDSZE
TWAŻ;TWARZ
TYLNIA;TYLNĄ
TYMBAKU;TOMBAKU
TÓŻ;TO
TĄBAK;TABAK
TĘPERATURA;TEMPERATURA
TĘPO ZA WOLNE;
TŁÓMIK;TŁUMIE
TŻEBA;TRZEBA
UDZIANE;UDZIALE
UHWYTY;CHWYTY
ULEPRZENIA;ULEPSZENIE
UMIE;IMIĘ
UMIĘ;IMIĘ
UPRZARZ;UPRZĄŻ
UPRZĄSZ;UPRZĄDŹ
UPSZĄSZ;
URZYTKOWNIK;UŻYTKOWNIKU
URZYTKU;UŻYTKU
URZYWANY;UŻYWANE
USZCZERBANĄ;
UTRZCIWOŚĆ;UCZCIWOŚĆ
UWCZESNYM;WCZESNYM
UWIEŻ;WIERZ
UZADZONKO;
UZYDKOWANIU;UŻYTKOWANIU
UZYTKOWNIĄ;UŻYTKOWNIK
W CALE;WCALE
W KRUTCE;WKRÓTCE
W REWANŻY;
W ZDLOZ;
WACHAC;WAHAŁ
WARMAZONIAŻ;
WASZKA;WASZA
WCIONGA;WYCIĄGA
WEDŁÓG;WEDŁUG
WEJĆ;WEJŚĆ
WEKĘT;
WELER;WELE
WELURY;PELURY
WELÓR;WELURY
WENDKA;WĘDKA
WETERYNAŻ;WETERYNARZ
WIATRUWKA;WIATRÓWKĘ
WIEKRZOOŚCI;
WIENC;WIĘC
WIERZA;WIESZ,
WIUR;WZÓR
WIZUŁALNY;WIZUALNY
WKÓRZYŁ;UKORZYŁ
WLANCZA;WŁADCZA
WOGULE;OGÓLE
WONTPLIWOŚCI;WĄTPLIWOŚCI
WOUGLE;
WPALPNYCH;
WPOŻĄTKU;
WPŁYNOŁ ;
WRAZIE;RAZIE
WREŚCIE;WRESZCIE
WRZĄDKIEM;WRZASKIEM
WRĘĆ;WIĘC
WSAC;WSTAĆ
WSCZOL;
WSGKEDU;
WSPULCZESNYM;WSPÓŁCZESNYM
WSZCZYMAC;WSZCZYNAĆ
WSÓWKI;WDÓWKI
WUWCZAS;WÓWCZAS
WYBLAKNIĘTY;WYBĄKNIĘTY
WYBUR;WYBÓR
WYCHAWTOWANY;WYHAFTOWANY
WYCIĄKCIE;
WYGARNYWANIA;
WYGLONDA;WYGLĄDA
WYNIKNĘŁA;WYNIKNĘŁA
WYPRÓWAĆ;WYPRUWA
WYRZEJ;WYŻEJ
WYSCIUŁKI;WYŚCIÓŁKI
WYSLYKI;
WYSOKA KOTURNA;
WYSPRZEDASZ;WYSPRZEDASZ
WYŁONCZNIK;WYŁĄCZNIE
WYŚLEŻE;WYLEŻĘ
WZIĄŚĆ;WZIĄĆ
WZORZASTE;WZORZYSTE
WÓLGARYZMY;WULGARYZMY
WĘTYLATOREK;WENTYLATOREK
YENSACH;PENSACH
Z OWĄT;
Z ŻĘDU;
ZA BESPIECZYC;
ZABLĄBOWANY;ZAPLOMBOWANY
ZABYDKOWYCH;ZABYTKOWYCH
ZACZASK;ZATRZASK
ZACZOŁ;ZACZĄŁ
ZADKO;RZADKO
ZADKOSC;RZADKOŚĆ
ZAGATKA;ZAKĄTKA
ZAGINIĘTE;ZAWINIĘTE
ZAGUWKI;ZAGŁÓWKI
ZAJŻYJ;ZAJRZYJ
ZAKONTKÓW;ZAKĄTKÓW
ZAKUPIANY;ZAKUPIONY
ZAKUŻONY;ZAKURZONE
ZAKĄCZONA;ZAŁĄCZONĄ
ZALERZY;NALEŻY
ZAMATOWANE;ZAMALOWANE
ZAMENT;ZAMĘTU
ZAMĄTOWAŁEM;ZAKATOWAŁEM
ZAPAŻACZ;ZAPARZASZ
ZAPORZYCZONE;ZAPOŻYCZONO
ZAPUZNO;
ZARUWNO;ZARÓWNO
ZARZYCIA;ZUŻYCIA
ZASIĘK;ZASIĘG
ZASZCZERZEN;
ZAŚIEŃK;ZASIEK
ZAŻUTÓW;ZARZUTÓW
ZBIERZNOŚĆ;ZBIEŻNOŚĆ
ZBIUR;ZBIÓR
