global-spk-a-cztery-lata-0001 a_cztery_lata_temu_samodzielnie
global-spk-chociaż-histo-0001 chociaż_historycy_dziejów_najnowszych_szacują
global-spk-co-byłoby-far-0001 co_byłoby_farsą
global-spk-co-do-której--0001 co_do_której_ma_podejrzenia
global-spk-co-poseł-pęk-0001 co_poseł_pęk
global-spk-co-się-stało--0001 co_się_stało_z_unią
global-spk-co-więcej-gdy-0001 co_więcej_gdy_porównamy_poparcie_dla_es_el_de_i_u_pe
global-spk-czego-w-sejmi-0001 czego_w_sejmikach_szukać
global-spk-cztery-lata-t-0001 cztery_lata_temu_wybory_do_sejmików_były_starciem_dwóch_potężnych_bloków
global-spk-czy-byłego-mi-0001 czy_byłego_ministra_spraw_wewnętrznych_i_administracji
global-spk-czyli-komitet-0001 czyli_komitetu_wyborczego_uw
global-spk-do-administra-0001 do_administracji_dawnych_pracowników
global-spk-do-sejmowych--0001 do_sejmowych_komisji_wraca_projekt_zmian_w_ustawie_lustracyjnej
global-spk-donald-0001 donald
global-spk-dosyć-bliska--0001 dosyć_bliska_tej_sztuki_była_też_na_pomorzu
global-spk-dużo-gorszy-w-0001 dużo_gorszy_wynik_w_wyborach_do_sejmików
global-spk-dwudziestu-do-0001 dwudziestu_do_czterdziestu_procent
global-spk-dwustu-szesna-0001 dwustu_szesnastoma_mandatami
global-spk-dyscyplinę-gł-0001 dyscyplinę_głosowania_przyjęliśmy_zdecydowaną_większością_dodaje
global-spk-działał-w-int-0001 działał_w_interesie_ówczesnego_państwa_polskiego
global-spk-el-es-de-jerz-0001 el_es_de_jerzego_jaskierni
global-spk-el-pe-er-0001 el_pe_er
global-spk-el-pe-er-0002 el_pe_er
global-spk-el-pe-er-0003 el_pe_er
global-spk-el-pe-er-0004 el_pe_er
global-spk-es-be-0001 es_be
global-spk-es-el-de-0001 es_el_de
global-spk-es-el-de-0002 es_el_de
global-spk-es-el-de-i-u--0001 es_el_de_i_u_pe
global-spk-es-el-de-trzy-0001 es_el_de_trzyma_się_mocno_ale_jego_pozycja_w_porównaniu_z_tysiąc_dziewięćset_dziewięćdziesiątym_ósmym_roku_osłabła
global-spk-esbecji-0001 esbecji
global-spk-gdy-zsumowano-0001 gdy_zsumowano_liczbę_oddanych_głosów_we_wszystkich_regionach
global-spk-gdyby-nawet-p-0001 gdyby_nawet_projekt
global-spk-gdyby-projekt-0001 gdyby_projekt_prezydencki_został_zaakceptowany
global-spk-gdyż-prawo-ni-0001 gdyż_prawo_nie_działa_wstecz
global-spk-gdzie-es-el-d-0001 gdzie_es_el_de_trzyma_się_najmocniej
global-spk-głównym-zadan-0001 głównym_zadaniem_współpracowników_obu_służb
global-spk-i-0001 i
global-spk-i-0002 i
global-spk-i-kontrwywiad-0001 i_kontrwywiad_prl
global-spk-i-kujawsko-po-0001 i_kujawsko-pomorskiem
global-spk-i-lpr-0001 i_lpr
global-spk-i-lpr-0002 i_lpr
global-spk-i-mazowszu-0001 i_mazowszu
global-spk-i-partii-brac-0001 i_partii_braci_kaczyńskich
global-spk-i-podkarpaciu-0001 i_podkarpaciu
global-spk-i-przyznaje-ż-0001 i_przyznaje_że_sld_naciska_na_jego_kolegów_z_partii
global-spk-i-sld-0001 i_sld
global-spk-i-tak-dalej-0001 i_tak_dalej
global-spk-i-tym-podobne-0001 i_tym_podobne
global-spk-i-up-0001 i_up
global-spk-i-up-0002 i_up
global-spk-i-w-wielkopol-0001 i_w_wielkopolsce
global-spk-i-współpracow-0001 i_współpracowników
global-spk-i-zagłosowali-0001 i_zagłosowali
global-spk-i-został-jede-0001 i_został_jeden_potentat
global-spk-innych-obywat-0001 innych_obywateli
global-spk-istnieć-0001 istnieć
global-spk-ja-będę-głoso-0001 ja_będę_głosował_przeciwko_zmianom
global-spk-jak-było-w-ty-0001 jak_było_w_tym_roku
global-spk-jak-je-wprowa-0001 jak_je_wprowadzimy
global-spk-jak-teraz-0001 jak_teraz
global-spk-jakie-stanowi-0001 jakie_stanowisko_zajmą_w_tej_sprawie_pozostali_nasi_posłowie
global-spk-jako-działani-0001 jako_działanie
global-spk-janusza-tomas-0001 janusza_tomaszewskiego
global-spk-jarosław-kacz-0001 jarosław_kaczyński
global-spk-jeden-procent-0001 jeden_procent
global-spk-jeden-z-lider-0001 jeden_z_liderów_samoobrony
global-spk-jednak-0001 jednak
global-spk-jednak-0002 jednak
global-spk-jednak-aż-w-s-0001 jednak_aż_w_siedmiu_regionach_poparcie_dla_u_wu_nie_przekroczyło
global-spk-jest-zbliżone-0001 jest_zbliżone
global-spk-jesteśmy-jedy-0001 jesteśmy_jedynym_krajem_na_świecie_w_którym_współpraca_z_wywiadem_jest_uważana_za_czynność_naganną
global-spk-jeśli-jednak-0001 jeśli_jednak
global-spk-józefa-olekse-0001 józefa_oleksego
global-spk-języczkami-u--0001 języczkami_u_wagi
global-spk-kandydaci-cen-0001 kandydaci_centroprawicy
global-spk-które-do-tej--0001 które_do_tej_pory_złożyły_oświadczenia_lustracyjne
global-spk-którzy-dyspon-0001 którzy_dysponują
global-spk-którzy-szkodz-0001 którzy_szkodzili_kościołowi
global-spk-którzy-współp-0001 którzy_współpracowali_z_sb
global-spk-kujawsko-pomo-0001 kujawsko_pomorskiem
global-spk-lepiej-niż-do-0001 lepiej_niż_do_innych_szczebli_samorządu
global-spk-liczę-na-to-ż-0001 liczę_na_to_że_nikt_się_nie_złamie_mówi_nasz_rozmówca
global-spk-liga-0001 liga
global-spk-liga-triumfow-0001 liga_triumfowała_zaś_w_lubelskiem
global-spk-lub-nieprawdz-0001 lub_nieprawdziwości_oświadczenia
global-spk-lub-zostanie--0001 lub_zostanie_z_niej_odwołana
global-spk-ludowcy-0001 ludowcy
global-spk-mają-służyć-w-0001 mają_służyć_wprowadzeniu_przez
global-spk-miażdżąco-0001 miażdżąco
global-spk-między-innymi-0001 między_innymi_szefa_klubu_parlamentarnego
global-spk-moim-zdaniem-0001 moim_zdaniem
global-spk-moim-zdaniem-0002 moim_zdaniem
global-spk-musiałby-wyka-0001 musiałby_wykazać
global-spk-mówi-janusz-z-0001 mówi_janusz_zemke
global-spk-mówi-małopols-0001 mówi_małopolski_poseł
global-spk-mówi-poseł-pę-0001 mówi_poseł_pęk
global-spk-mówi-wojciech-0001 mówi_wojciech_mojzesowicz
global-spk-na-podkarpaci-0001 na_podkarpaciu
global-spk-na-poziomie-w-0001 na_poziomie_wojewódzkim_dominują_już_bowiem_wielkie_ugrupowania
global-spk-na-uwagę-zwra-0001 na_uwagę_zwracają_wyniki_unii_samorządowej
global-spk-najbardziej-0001 najbardziej
global-spk-najsłabszy-je-0001 najsłabszy_jest_w_małopolsce
global-spk-najważniejsze-0001 najważniejsze_propozycje_w_projekcie_prezydenckim
global-spk-najwyraźniej-0001 najwyraźniej
global-spk-natomiast-0001 natomiast
global-spk-nawet-przekro-0001 nawet_przekroczyła_dwadzieścia_procent
global-spk-nie-było-woje-0001 nie_było_województwa_w_którym_partia_leppera
global-spk-nie-było-żadn-0001 nie_było_żadnych_agentów
global-spk-nie-chcemy-zn-0001 nie_chcemy_znieść_lustracji
global-spk-nie-stanie-pr-0001 nie_stanie_przed_sądem_lustracyjnym
global-spk-nie-ulega-dla-0001 nie_ulega_dla_nich_wątpliwości
global-spk-nie-uyskałaby-0001 nie_uyskałaby_poparcia_niższego_niż_dziesięć_procent
global-spk-nieznacznie-0001 nieznacznie
global-spk-niż-w-tysiąc--0001 niż_w_tysiąc_dziewięćset_dziewięćdziesiątym_ósmym_roku
global-spk-o-co-chodzi-p-0001 o_co_chodzi_prezydentowi_i_es_el_de
global-spk-o-zero-przeci-0001 o_zero_przecinek_jeden_procent_gorszy
global-spk-oba-zapisy-we-0001 oba_zapisy_weszły_w_życie
global-spk-obecnie-lustr-0001 obecnie_lustracji_podlegają_osoby_związane_z_każdą_służbą_specjalną_polskiej_republiki_ludowej
global-spk-obowiązująca--0001 obowiązująca_ustawa_określa_współpracę
global-spk-oddał-palmę-p-0001 oddał_palmę_pierwszeństwa
global-spk-odniosło-w-lu-0001 odniosło_w_lubuskiem
global-spk-odzwierciedla-0001 odzwierciedlają_partyjne
global-spk-ojcem-ustawy--0001 ojcem_ustawy_lustracyjnej_uważa_że_gdyby
global-spk-okaże-się-0001 okaże_się
global-spk-okaże-się-0002 okaże_się
global-spk-okaże-się-0003 okaże_się
global-spk-opolskim-0001 opolskim
global-spk-opolszczyzna--0001 opolszczyzna_i_pomorze
global-spk-opozycji-0001 opozycji
global-spk-opozycji-0002 opozycji
global-spk-opozycji-demo-0001 opozycji_demokratycznej
global-spk-oraz-0001 oraz
global-spk-oraz-antoni-m-0001 oraz_antoni_macierewicz
global-spk-oraz-dobrom-o-0001 oraz_dobrom_osobistym
global-spk-oraz-w-święto-0001 oraz_w_świętokrzyskiem
global-spk-oraz-zasada-0001 oraz_zasada
global-spk-oraz-zsumowan-0001 oraz_zsumowane_dla
global-spk-oraz-złożyć-w-0001 oraz_złożyć_wnioski_dowodowe
global-spk-oscyluje-wokó-0001 oscyluje_wokół
global-spk-osiem-do-ośmi-0001 osiem_do_ośmiu
global-spk-osoba-która-s-0001 osoba_która_sama_odejdzie_z_funkcji_publicznej_podlegającej_lustracji
global-spk-osób-współpra-0001 osób_współpracujących_w_polskiej_republice_ludowej_z_wywiadem_i_kontrwywiadem
global-spk-pe-es-el-0001 pe_es_el
global-spk-pe-es-el-0002 pe_es_el
global-spk-pe-es-el-zami-0001 pe_es_el_zamierza_jedynie_poprzeć
global-spk-pe-o-0001 pe_o
global-spk-pe-o-0002 pe_o
global-spk-pe-o-pe-i-es-0001 pe_o_pe_i_es
global-spk-pe-o-pe-i-es-0002 pe_o_pe_i_es
global-spk-pe-o-pe-i-es-0003 pe_o_pe_i_es
global-spk-pe-o-pe-i-es-0004 pe_o_pe_i_es
global-spk-peerelowskieg-0001 peerelowskiego_wywiadu_i_kontrwywiadu_oraz_zmianie_definicji_współpracy
global-spk-pis-0001 pis
global-spk-pis-0002 pis
global-spk-pięcioprocent-0001 pięcioprocentowy_próg_wyborczy
global-spk-pięć-procent-0001 pięć_procent
global-spk-po-jednym-na--0001 po_jednym_na_dolnym_śląsku_i_na_śląsku
global-spk-po-myśli-soju-0001 po_myśli_sojuszu
global-spk-pobił-lpr-na--0001 pobił_lpr_na_pomorzu_i_mazowszu
global-spk-podczas-posie-0001 podczas_posiedzenia_klubu
global-spk-pogorszenie-s-0001 pogorszenie_się_poparcia_dla_es_el_de
global-spk-pogłębia-jesz-0001 pogłębia_jeszcze_fakt
global-spk-pomorzu-0001 pomorzu
global-spk-ponadto-wywia-0001 ponadto_wywiad
global-spk-poparcie-dla--0001 poparcie_dla_sojuszu_spadło_najbardziej_w_łódzkiem
global-spk-poparcie-dla-0001 poparcie_dla
global-spk-populistyczne-0001 populistyczne_antyeuropejskie_nastroje_są_obecne_w_każdym_regionie_ale_najbardziej_na_ścianie_wschodniej
global-spk-populistyczny-0001 populistyczny
global-spk-poseł-lub-sen-0001 poseł_lub_senator_nie_będzie_mógł
global-spk-prawom-obywat-0001 prawom_obywatelskim
global-spk-preferencje-p-0001 preferencje_polaków
global-spk-prezydencki-z-0001 prezydencki_został_wprowadzony_w_życie
global-spk-prezydent-i-s-0001 prezydent_i_sld
global-spk-projektu-bron-0001 projektu_bronią_posłowie_es_el_de
global-spk-proponuje-się-0001 proponuje_się_wyłączenie_z_lustracji_współpracowników_wywiadu_i_kontrwywiadu
global-spk-przeciwni-zli-0001 przeciwni_zliberalizowaniu_ustawy_są_natomiast_posłowie
global-spk-przeciwnicy-0001 przeciwnicy
global-spk-przestałaby-0001 przestałaby
global-spk-przez-cztery--0001 przez_cztery_lata_poparcie_dla_sld
global-spk-przypominają--0001 przypominają_też
global-spk-przypomnijmy-0001 przypomnijmy
global-spk-przypuszczam-0001 przypuszczam
global-spk-pęk-zwany-0001 pęk_zwany
global-spk-reprezentują--0001 reprezentują_pytani_przez_nas_posłowie
global-spk-rzecznik-inte-0001 rzecznik_interesu_publicznego_poinformuje_osobę
global-spk-rzecznik-ma-k-0001 rzecznik_ma_kontakt_z_lustrowanym_dopiero_w_sądzie
global-spk-samoobrona-0001 samoobrona
global-spk-samoobrona-dz-0001 samoobrona_dziewiętnaście_procent
global-spk-samoobrona-wy-0001 samoobrona_wygrywała_z_aspirującym_do_podobnego_elektoratu
global-spk-sejm-debatowa-0001 sejm_debatował_na_ten_temat
global-spk-sojusz-traci-0001 sojusz_traci
global-spk-sojusz-uzyska-0001 sojusz_uzyskał_najlepszy_wynik_w_trzynastu_województwach
global-spk-sojusz-zwycię-0001 sojusz_zwyciężył_w_dziewięciu_województwach
global-spk-spektakularne-0001 spektakularne_zwycięstwo_sld
global-spk-stosunkowo-na-0001 stosunkowo_najbardziej_odporne_na_populizm_są_zaś
global-spk-suwerennościo-0001 suwerennościowym_aspiracjom_narodu_polskiego
global-spk-szefa-kancela-0001 szefa_kancelarii_premiera_marka_wagnera
global-spk-szefa-sejmowe-0001 szefa_sejmowej_komisji_europejskiej
global-spk-tajne-i-świad-0001 tajne_i_świadome
global-spk-tam-gdzie-sld-0001 tam_gdzie_sld_wygrywało_wchodziło_najczęściej_w_koalicje_z_ps
global-spk-tam-zaś-gdzie-0001 tam_zaś_gdzie_triumfował_aws_do_koalicji_wchodzili_unici
global-spk-ten-sam-poglą-0001 ten_sam_pogląd
global-spk-teraz-0001 teraz
global-spk-teraz-nie-wst-0001 teraz_nie_wstrzymuje_to_lustracji
global-spk-to-lepiej-był-0001 to_lepiej_byłoby_w_ogóle_zrezygnować_z_lustracji
global-spk-to-lustracji--0001 to_lustracji_na_obecnych_warunkach_będą_podlegać_wszystkie_osoby
global-spk-to-rzecznik-i-0001 to_rzecznik_interesu_publicznego
global-spk-to-w-istocie--0001 to_w_istocie_ustawa
global-spk-totalitarnego-0001 totalitarnego
global-spk-totalitarnego-0002 totalitarnego_państwa
global-spk-trudno-mi-jed-0001 trudno_mi_jednak_powiedzieć
global-spk-tusk-0001 tusk
global-spk-twierdzą-0001 twierdzą
global-spk-tym-samym-co--0001 tym_samym_co_pozostałe_departamenty_sb
global-spk-tysiąc-dziewi-0001 tysiąc_dziewięćset_dziewięćdziesiątym_ósmym_roku
global-spk-unia-oraz-por-0001 unia_oraz_porozumienie_społeczne
global-spk-unia-samorząd-0001 unia_samorządowa
global-spk-uw-będzie-mia-0001 uw_będzie_miała_tylko_dwa_mandaty
global-spk-uważa-on-0001 uważa_on
global-spk-uzyskał-niezn-0001 uzyskał_nieznacznie_lepszy_wynik
global-spk-uzyskał-też-w-0001 uzyskał_też_w
global-spk-w-0001 w
global-spk-w-0002 w
global-spk-w-dwóch-0001 w_dwóch
global-spk-w-dziewięciu--0001 w_dziewięciu_regionach_górą_była_koalicja_platformy
global-spk-w-istotny-spo-0001 w_istotny_sposób_szkodził_kościołom
global-spk-w-jedenastu-w-0001 w_jedenastu_województwach_na_unię_oddano_mniej_głosów_niż_na_alternatywną_partię_pracy
global-spk-w-jednym-0001 w_jednym
global-spk-w-każdym-regi-0001 w_każdym_regionie
global-spk-w-lubuskiem-0001 w_lubuskiem
global-spk-w-pięciu-woje-0001 w_pięciu_województwach_nawet_wyższe
global-spk-w-siedmiu-0001 w_siedmiu
global-spk-w-tabeli-prze-0001 w_tabeli_przedstawiamy_też_wyniki_komitetów_które_nie_dostały_się_do_większości_sejmików
global-spk-w-tej-kadencj-0001 w_tej_kadencji
global-spk-w-tych-wojewó-0001 w_tych_województwach_unia_przekroczyła_bowiem
global-spk-w-tym-roku-pr-0001 w_tym_roku_przybył_nowy_ważny_uczestnik_gry_na_scenie_politycznej
global-spk-w-tysiąc-dzie-0001 w_tysiąc_dziewięćset_dziewięćdziesiątym_ósmym_roku
global-spk-w-ścisły-spos-0001 w_ścisły_sposób
global-spk-warmińsko-maz-0001 warmińsko-mazurskiem
global-spk-ważne-dwa-pun-0001 ważne_dwa_punkty
global-spk-wczoraj-wiecz-0001 wczoraj_wieczorem
global-spk-wiceminister--0001 wiceminister_obrony_poseł_sld
global-spk-większości-so-0001 większości_sondaży_opinii_publicznej_ogólnopolskie_poparcie_dla_uw
global-spk-wolności-i-pr-0001 wolności_i_prawom_człowieka_i_obywatela
global-spk-wprowadzenia--0001 wprowadzenia_zmian_chcą_posłowie
global-spk-wpływy-prawic-0001 wpływy_prawicy_wciąż_są_znaczące
global-spk-współpracował-0001 współpracowało_ze_służbami_bezpieczeństwa
global-spk-współpracował-0002 współpracowały_z_sowieckimi_służbami_specjalnymi
global-spk-wszystko-więc-0001 wszystko_więc_wskazuje_na_to_że_o_losach_ustawy
global-spk-wynika-z-nied-0001 wynika_z_niedostatecznej_identyfikacji_przez_wyborców_szyldu
global-spk-wyniki-wyboró-0001 wyniki_wyborów_do_sejmików_wojewódzkich
global-spk-wyniki-wyboró-0002 wyniki_wyborów_do_sejmików_wojewódzkich
global-spk-wynosi-trzy-d-0001 wynosi_trzy_do_czterech_procent
global-spk-wystartowali--0001 wystartowali_w_tym_roku_w_kilku_komitetach
global-spk-wywiad-polski-0001 wywiad_polskiej_republiki_ludowej
global-spk-wyłączenie-sp-0001 wyłączenie_spod_lustracji
global-spk-wzrosło-tylko-0001 wzrosło_tylko_w_województwie_lubuskim
global-spk-z-ustawy-miał-0001 z_ustawy_miałby_zostać_usunięty_zapis_pozwalający_umorzyć_proces_przez_sąd
global-spk-zachodniopomo-0001 zachodniopomorskiem
global-spk-zachodniopomo-0002 zachodniopomorskiem
global-spk-zadecyduje-po-0001 zadecyduje_postawa_pięćdziesięciu_jeden_posłów_samoobrony
global-spk-zajmowały-się-0001 zajmowały_się_w_ponad_dziewięćdziesięciu_procentach
global-spk-zakończył-się-0001 zakończył_się_remisem
global-spk-zakładający-m-0001 zakładający_między_innymi_by_lustrować_tylko_tych_agentów_służb_specjalnych_polskiej_republiki_ludowej
global-spk-ze-służbami-s-0001 ze_służbami_specjalnymi_państwa
global-spk-zliberalizowa-0001 zliberalizowania_ustawy_twierdzą
global-spk-zmiany-proced-0001 zmiany_proceduralne
global-spk-zsumujemy-rez-0001 zsumujemy_rezultaty_popis
global-spk-związków-zawo-0001 związków_zawodowych
global-spk-zwrócić-się-d-0001 zwrócić_się_do_rzecznika_o_lustrację_wskazanej_osoby
global-spk-śląsk-0001 śląsk
global-spk-że-gdyby-miał-0001 że_gdyby_miała_obowiązywać_ustawa_w_wersji_zaproponowanej_przez_prezydenta
global-spk-że-ktoś-nie-t-0001 że_ktoś_nie_tylko_współpracował_z_sb_w_sposób_tajny_i_świadomy
global-spk-że-lustrowane-0001 że_lustrowanemu_trzeba_udowodnić_działanie_na_szkodę_kościoła_katolickiego
global-spk-że-nie-są-jes-0001 że_nie_są_jeszcze_zamknięte_procesy_lustracyjne
global-spk-że-około-czte-0001 że_około_cztery_miliony_polaków
global-spk-że-pojedynek--0001 że_pojedynek_prawica_lewica
global-spk-że-taka-lustr-0001 że_taka_lustracja_objęłaby_niemal_wyłącznie_działaczy_antykomunistycznej_opozycji
global-spk-że-uzyskamy-w-0001 że_uzyskamy_wyniki_zbliżone_do_poparcia_dla_aws_w
global-spk-że-w-istocie--0001 że_w_istocie_ważne_są_dwie_propozycje
global-spk-że-w-prl-0001 że_w_prl
global-spk-że-w-prl-nie--0001 że_w_prl_nie_było_konfidentów
global-spk-że-w-tym-roku-0001 że_w_tym_roku_startował_on_wspólnie_z_up
global-spk-że-wywiad-i-k-0001 że_wywiad_i_kontrwywiad_polskiej_republiki_ludowej
global-spk-że-zdecydowan-0001 że_zdecydowana_większość_będzie_głosowała_tak_jak_ja
global-spk-że-zmiana-ust-0001 że_zmiana_ustawy_lustracyjnej_i_wcześniejsza_zmiana_ustawy_o_służbie_cywilnej
